613,209,48,91
615.37,204.81,48,90
618.31,198.57,48,90
618.32,198.58,48,90
620.4,193.42,48,90
627,194,45,84
627,188,46,75
632,188,42,68
632,186,44,69
633,185,42,69
635,184,44,63
637.01,184.32,43,61
638,184,44,62
637,184,42,61
638,182,42,63
638,180,43,63
638.31,178.83,43,63
637.86,178.29,43,63
638.96,176.58,43,64
641,179,44,60
642,178,47,59
641.51,177.51,47,59
645.35,176.61,47,59
648.26,175.39,47,60
656,181,49,50
658,179,53,51
661.89,178.33,53,50
662.91,178.86,51,49
667.02,178.5,50,48
671.86,178.45,52,49
680,177,59,42
687.5,175.98,59,44
695.34,173.88,59,44
695.84,175.38,58,43
701,176,56,38
708,176,58,37
723.19,172.79,58,37
735,172.69,54,34
743.07,171.95,53,34
749,173,48,28
757,170,52,29
765.15,168.61,52,29
788.47,164.87,52,29
799,168,53,23
813,166,53,24
811,167,53,22
819.48,167.82,53,22
832,166,59,22
857,167,58,21
869,169,56,19
878,168,61,23
876.51,167.51,61,23
887.33,170.15,61,23
895.73,171.84,61,23
915.3,176.31,61,23
920,177,74,31
928.87,180.69,74,30
928.89,180.68,74,30
937.16,184.41,75,30
943.72,186.5,78,31
958,195,78,38
962.82,199.7,79,38
969.19,203.62,81,39
967.69,203.61,84,41
974.15,208.52,82,40
976,216,77,45
980,228,73,51
981,236,75,51
979,240,75,54
979,241,74,55
975,247,79,60
971,251,79,59
958,256,81,62
954,256,74,64
948,260,72,62
945,257,71,63
931.76,257.91,75,65
924,261,71,62
900.08,259.84,76,67
887.6,261.02,76,67
877,263,74,62
876.04,262.51,74,61
865.83,263.81,74,61
853.73,265.07,74,61
827,265,79,63
812,263,80,65
797.65,262.71,81,65
796.63,262.71,81,65
783.89,263.87,81,65
770.92,264.65,80,64
743,259,77,72
743,256,63,73
742,255,49,75
745,254,48,76
739,252,40,77
732,247,36,76
701,240,42,41
693,234,47,43
679,229,53,40
682,228,52,43
648,225,81,40
647.13,215.59,80,43
633,205,88,43
633,203,91,41
631,198,89,45
630,196,91,48
630,191,92,51
627,191,95,44
625,179,102,44
622,175,100,43
618,175,104,39
618,175,103,39
618,173,103,37
641,176,75,30
646,172,67,28
645,176,67,22
644,176,64,20
643.87,174.62,65,25
646,176,63,20
647,174,60,23
642,169,59,32
643,169,55,31
623,175,75,26
624,175,77,27
626,177,71,26
631,180,64,26
633.76,185.93,62,25
635.78,189.03,62,25
640,194,62,34
640,194,60,34
644,196,57,36
648.01,199.72,55,35
659,212,54,41
663,214,53,42
671,223,53,40
669,218,55,48
671.57,221.23,57,48
677.86,223.98,58,49
693,234,53,47
698,237,56,44
702,235,58,53
701.98,236,58,52
707.01,237.72,59,53
713.47,240,61,55
724.97,246.01,62,56
733,252,63,53
738.83,254.69,64,53
746.61,259.56,63,52
746.65,259.57,63,52
755.33,263.85,63,52
771,264,75,59
776.13,266.2,78,60
793,268,74,57
802,268,80,57
804,267,76,58
808,264,86,62
825,265,90,60
830,266,97,58
834,264,103,59
841,261,102,61
840,258,104,64
845.35,255.6,101,61
846.51,250.74,108,65
854.02,246.15,108,65
848,248,114,62
844,245,118,62
844,244.5,118,61
843.36,243.61,118,61
845.08,243.68,115,59
841.38,239.8,118,61
841,241,120,63
839.53,242.03,117,60
839.52,241.02,117,60
838.35,242.02,117,60
836.91,244.95,117,60
836,247,121,64
833.42,248.55,121,63
832.13,250.5,121,63
832.11,251.48,121,63
830,256,120,71
826,262,120,72
822,272,113,77
818,277,112,85
816,284,114,90
818,286,110,87
811,290,117,96
806.78,297.71,119,96
801.17,314.52,121,98
797.2,324.43,121,98
797.31,338.11,114,93
792,335,121,99
788.29,345.71,121,98
782.13,357.48,121,98
770,387,119,87
761,397,111,87
749,408,115,85
749.47,407.51,115,85
735.42,416.73,115,85
720.57,426.97,112,83
685.4,443.1,115,85
667,452,113,79
645.42,456.26,117,82
647,456,113,76
627.07,463.49,110,77
607.77,469.11,110,77
563,469,113,79
541.2,472.42,115,80
519.83,475.47,115,80
519.85,475.53,115,80
498.76,479,115,80
474,484,121,84
428.83,488.6,125,87
405.09,492.18,125,87
379.93,493.52,128,89
380.96,493.53,128,89
356,491,138,94
329.76,492.46,143,97
284,492,136,91
253,489,138,98
223,484,144,94
224,483,140,96
191,479,141,100
163,471,138,106
109,453,145,110
93,445,144,110
75,432,140,112
75.49,432,139,112
64.157,422.46,133,107
54.775,409.72,130,105
50,395,132,94
47,384,131,90
50,376,133,85
47,376,138,87
55,367,130,83
53,358,135,75
55,340,147,66
62.642,331.58,146,65
77,324,143,56
75.889,324.45,140,62
96,315,134,50
111,310,135,52
152,308,119,40
175,303,116,39
203,299,109,34
203,295,108,42
228,295,107,46
248.06,293.19,106,45
305,298,96,45
326,296,97,49
358,299,83,49
356,301,87,47
379.77,298.57,90,50
400.16,299.88,90,50
441,299,85,62
462,297,89,69
483,298,85,68
483.48,298.49,85,67
501.07,298.75,86,68
518.21,298.94,90,71
557.18,301.67,90,71
577,306,92,66
597.46,307.24,92,66
597.44,307.23,92,66
618.13,309.08,92,66
642.26,313.91,90,64
687,315,97,65
715.27,319.03,97,64
749.18,325.86,95,62
749.19,325.86,95,62
787,328,103,75
827,338,106,70
913,355,117,74
957,362,122,77
995,373,132,79
997,371,128,81
1035,379,136,81
1069.3,387.2,138,81
