686,542,65,70
692.63,538.64,65,70
699.69,533.22,65,70
710,524,65,71
714,515,66,74
721,499,58,77
727,488,63,72
726,474,57,70
719,456,65,72
718,441,71,71
719,428,74,62
717.95,420.63,74,62
712,408,72,78
710,398,72,71
708.98,390.44,83,69
706,381,70,76
703.11,375.17,71,77
704.38,364.48,71,77
702.11,356.29,72,79
700,349,78,72
697,340,83,71
692,340,89,59
695,337,86,54
691,327,92,53
693,317,90,56
695,313,87,57
691.17,309.5,88,57
689.17,299.71,88,57
688.86,293.48,88,57
685,291,90,62
684,284,90,65
682.55,280.38,90,64
681.51,273.42,90,64
679.95,268.52,90,64
681,267,84,70
681,263,84,69
679.49,261.46,84,68
678.95,256.07,84,68
684,248,72,64
683,241,73,76
679,237,75,88
677,232,75,82
677,228,74,80
675,224,73,82
673,219,72,81
671,217,69,83
668.17,215.56,70,83
668.46,214.08,69,82
668,206,65,94
665,203,67,93
663,202,64,90
661.7,201.3,64,90
660.17,201.4,62,88
658.08,199.34,64,90
659,192,58,92
658,193,56,86
657,193,55,89
655.2,193.35,56,86
654.26,193.34,54,84
653.81,195.56,53,82
652,192,56,87
651.4,191.5,56,87
650.35,193.65,54,85
648.6,192.64,56,87
648,191,62,84
646,193,62,84
645.13,194.98,62,84
645.58,196.05,59,80
643.79,197.72,58,79
642,201,71,75
644,202,69,81
642.74,203.92,69,81
641.68,205.76,67,79
641.36,209.45,65,76
640,211,68,69
635,214,72,71
632.7,217.12,72,70
629,228,80,69
627,232,83,71
624,245,85,71
622,251,89,71
619,265,89,66
617,275,85,65
619.79,278.24,90,71
614,296,87,63
612,308,86,66
614,315,82,67
611.52,330.27,86,66
611.65,341.45,87,67
612,348,85,74
614,360,80,73
615.93,375.95,78,71
614.33,388.16,78,71
620,399,74,79
621,414,72,81
627,431,65,80
631.18,444.99,61,75
634.62,456.29,60,73
639.53,465.65,60,73
643.5,475.52,60,73
645,487,67,71
650.88,497.82,65,68
653.53,505.05,67,70
657.97,513.08,67,70
662.69,522.01,67,70
665,526,66,73
669.2,533.02,67,74
