502,300,23,27
496.75,301.45,23,26
492.67,302.25,23,26
487.79,303.42,23,26
483.1,304.67,23,26
478,304,25,29
474.74,305.26,25,28
473.34,306.71,25,28
472.18,307.83,25,28
471.81,308.87,25,28
475,310,22,26
476.26,311.39,22,25
479.24,312.41,22,25
481.3,313.87,22,25
485.96,314.88,22,25
488,315,25,23
498,317,21,23
503,319,21,22
504.31,319.61,25,22
510.79,321.9,25,22
520,324,22,25
526.95,326.4,22,24
533.2,328.99,22,24
540.1,329.47,22,24
547.49,331.69,23,25
556,333,21,27
564,334,22,26
575.91,337.78,21,26
588.29,340.25,21,26
601.2,342.86,21,26
614,344,23,33
631,345,22,31
649,347,23,34
667,349,21,38
682,348,24,44
698,352,23,45
714,353,23,45
730.46,356.46,21,35
743.86,354.05,22,37
757,354,27,39
771,354,26,41
778,354,37,34
788,353,40,35
797,353,51,35
808,354,53,31
819,355,56,27
832.18,357.34,53,25
840.02,357.25,54,26
849.44,360.09,56,27
857,364,57,22
864,363,58,27
873.4,363.21,62,29
879,368,56,27
888,374,60,25
893,378,62,27
902,383,56,27
908.29,388.34,54,26
914.91,395.18,53,25
920.47,399.88,52,25
930,407,53,30
934,413,50,35
939.53,422.02,48,33
943,426,58,41
944,438,55,41
950,446,49,45
950,456,51,53
951.81,469.05,49,50
962,480,42,58
958,489,45,69
958,503,43,73
965,515,30,75
963.45,531.16,30,75
962.47,547.44,30,76
958,565,32,82
953,585,38,85
950,606,32,80
